ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","222.00","223.50","215.00","221.18","216.99","216.63","218.44","348.20","195.00","1,62,727","3,55,45,875.14","9,522"
"11-Aug-2025","EQ","220.00","222.20","216.50","220.64","220.00","221.18","218.85","348.20","195.00","1,97,686","4,32,64,404.43","8,456"
"08-Aug-2025","EQ","218.25","222.99","217.90","218.18","218.99","220.64","221.00","348.20","195.00","1,62,738","3,59,64,703.68","8,211"
"07-Aug-2025","EQ","219.99","221.80","213.87","220.64","219.60","218.18","217.51","348.20","195.00","2,47,084","5,37,42,940.19","10,977"
"06-Aug-2025","EQ","225.31","229.24","219.50","220.31","221.40","220.64","223.50","348.20","195.00","4,43,678","9,91,61,363.32","18,809"
"05-Aug-2025","EQ","228.75","229.89","220.00","228.39","220.65","220.31","222.38","348.20","195.00","2,75,094","6,11,74,569.38","10,730"
"04-Aug-2025","EQ","224.32","229.28","223.19","224.32","228.05","228.39","226.43","348.20","195.00","1,54,818","3,50,55,784.23","10,119"
"01-Aug-2025","EQ","226.00","231.50","223.00","227.72","224.20","224.32","227.70","352.75","195.00","2,26,181","5,15,00,627.20","10,414"
"31-Jul-2025","EQ","228.00","231.50","224.87","235.15","226.50","227.72","228.44","352.75","195.00","2,84,889","6,50,80,287.24","11,811"
"30-Jul-2025","EQ","234.00","237.25","232.00","234.46","234.00","235.15","234.13","352.75","195.00","1,15,481","2,70,37,373.92","7,606"
"29-Jul-2025","EQ","234.00","235.33","229.54","233.81","233.80","234.46","232.09","352.75","195.00","1,20,462","2,79,57,714.05","7,998"
"28-Jul-2025","EQ","231.70","239.00","230.31","232.88","232.87","233.81","234.67","352.75","195.00","1,99,645","4,68,50,256.29","13,240"
"25-Jul-2025","EQ","242.00","242.30","230.78","241.01","233.90","232.88","236.14","352.75","195.00","2,04,538","4,82,98,852.33","13,703"
"24-Jul-2025","EQ","242.00","242.99","238.90","241.13","240.95","241.01","240.80","352.75","195.00","1,45,343","3,49,98,156.33","8,368"
"23-Jul-2025","EQ","236.44","241.95","235.00","235.85","241.40","241.13","239.08","352.75","195.00","2,32,452","5,55,74,325.86","8,827"
"22-Jul-2025","EQ","239.81","242.85","235.32","239.66","236.00","235.85","237.88","352.75","195.00","1,67,667","3,98,83,837.35","7,956"
"21-Jul-2025","EQ","246.38","247.06","238.50","246.38","239.80","239.66","241.47","352.75","195.00","2,24,451","5,41,97,448.08","13,336"
"18-Jul-2025","EQ","243.65","248.00","242.50","243.48","245.80","246.38","245.82","352.75","195.00","3,47,939","8,55,30,322.73","12,987"
"17-Jul-2025","EQ","241.75","244.90","240.48","241.65","244.00","243.48","243.68","352.75","195.00","2,57,026","6,26,33,185.20","10,430"
"16-Jul-2025","EQ","239.80","244.43","239.06","239.97","241.96","241.65","242.04","352.75","195.00","1,77,569","4,29,78,038.56","9,727"
"15-Jul-2025","EQ","235.96","241.27","235.96","235.96","239.68","239.97","240.03","352.75","195.00","2,02,760","4,86,69,316.69","9,225"
"14-Jul-2025","EQ","235.00","239.75","234.15","236.74","236.49","235.96","236.41","352.75","195.00","1,64,877","3,89,78,964.36","10,346"
"11-Jul-2025","EQ","240.00","244.00","235.10","241.37","236.76","236.74","239.31","352.75","195.00","2,54,073","6,08,01,597.74","10,651"
"10-Jul-2025","EQ","239.00","244.58","238.25","239.44","241.99","241.37","241.75","352.75","195.00","2,70,650","6,54,30,518.78","10,430"
"09-Jul-2025","EQ","235.50","241.00","235.50","238.27","240.00","239.44","239.27","352.75","195.00","2,48,122","5,93,67,736.01","8,164"
"08-Jul-2025","EQ","238.00","241.75","232.66","235.75","238.44","238.27","237.23","352.75","195.00","3,73,672","8,86,46,271.56","14,317"
"07-Jul-2025","EQ","238.19","242.35","232.20","238.13","236.50","235.75","236.90","352.75","195.00","2,54,348","6,02,54,689.35","11,108"
"04-Jul-2025","EQ","237.34","239.48","235.36","237.34","238.40","238.13","237.23","352.75","195.00","1,41,405","3,35,45,288.77","5,827"
"03-Jul-2025","EQ","236.80","238.75","234.11","235.94","237.42","237.34","237.17","352.75","195.00","1,28,080","3,03,77,103.50","5,597"
"02-Jul-2025","EQ","237.01","238.50","232.65","236.37","235.92","235.94","235.09","352.75","195.00","1,84,077","4,32,73,773.28","5,707"
"01-Jul-2025","EQ","238.70","239.75","235.20","238.60","237.00","236.37","236.64","352.75","195.00","1,95,900","4,63,57,430.50","6,050"
"30-Jun-2025","EQ","238.20","240.20","237.15","237.15","238.65","238.60","238.50","352.75","195.00","1,63,443","3,89,81,099.95","6,289"
"27-Jun-2025","EQ","239.70","241.15","236.60","238.50","238.10","237.15","238.78","352.75","195.00","4,54,125","10,84,37,355.05","8,429"
"26-Jun-2025","EQ","241.40","242.60","237.45","240.30","238.80","238.50","239.33","352.75","195.00","2,22,742","5,33,07,791.70","7,089"
"25-Jun-2025","EQ","235.90","241.60","235.00","233.80","240.25","240.30","238.33","352.75","195.00","3,29,837","7,86,11,270.55","11,999"
"24-Jun-2025","EQ","233.90","239.35","232.85","231.00","237.00","233.80","236.17","352.75","195.00","2,12,407","5,01,63,601.45","7,373"
"23-Jun-2025","EQ","231.20","234.35","228.95","233.30","231.70","231.00","230.94","352.75","195.00","4,75,201","10,97,41,090.50","11,870"
"20-Jun-2025","EQ","230.00","236.00","229.70","233.90","235.65","233.30","232.92","352.75","195.00","2,53,754","5,91,04,510.15","14,596"
"19-Jun-2025","EQ","239.00","239.70","231.70","237.80","233.90","233.90","234.67","352.75","195.00","3,42,109","8,02,82,834.80","15,643"
"18-Jun-2025","EQ","241.00","242.30","236.00","240.40","237.80","237.80","238.75","352.75","195.00","2,86,429","6,83,84,311.90","14,416"
"17-Jun-2025","EQ","246.00","252.80","239.90","246.00","241.00","240.40","243.44","352.75","195.00","3,36,519","8,19,22,794.75","14,615"
"16-Jun-2025","EQ","252.80","253.25","240.60","251.45","246.20","246.00","244.83","352.75","195.00","5,56,848","13,63,35,765.45","24,963"
"13-Jun-2025","EQ","250.00","253.15","245.05","255.50","251.35","251.45","249.39","352.75","195.00","3,88,058","9,67,79,691.60","12,032"
"12-Jun-2025","EQ","262.50","265.00","254.00","259.00","256.30","255.50","258.81","352.75","195.00","4,90,400","12,69,19,535.20","16,839"
"11-Jun-2025","EQ","258.10","268.00","254.85","256.75","259.80","259.00","262.33","352.75","195.00","9,60,627","25,19,98,804.05","25,239"
"10-Jun-2025","EQ","253.90","261.70","253.65","252.90","257.15","256.75","257.29","352.75","195.00","2,78,086","7,15,48,377.20","10,578"
"09-Jun-2025","EQ","256.00","257.30","251.15","253.75","253.90","252.90","254.43","352.75","195.00","2,60,232","6,62,10,065.70","9,788"
"06-Jun-2025","EQ","259.00","261.60","251.50","252.80","254.50","253.75","255.94","352.75","195.00","3,47,930","8,90,48,533.65","11,923"
"05-Jun-2025","EQ","252.80","257.00","251.60","252.80","254.00","252.80","254.35","352.75","195.00","1,91,896","4,88,08,271.10","7,047"
"04-Jun-2025","EQ","250.00","256.00","246.50","249.60","252.00","252.80","251.77","352.75","195.00","3,61,486","9,10,10,980.70","14,943"
"03-Jun-2025","EQ","253.35","255.45","248.40","253.25","249.65","249.60","251.57","352.75","195.00","1,74,512","4,39,02,746.95","9,243"
"02-Jun-2025","EQ","255.05","256.95","252.00","254.12","252.50","253.25","254.82","352.75","195.00","1,70,019","4,33,23,891.85","6,420"
"30-May-2025","EQ","253.00","257.59","247.31","251.75","255.60","254.12","253.33","380.00","195.00","3,24,806","8,22,82,784.88","13,793"
"29-May-2025","EQ","254.80","255.99","250.51","253.47","253.79","251.75","253.10","380.00","195.00","2,08,371","5,27,38,989.07","7,671"
"28-May-2025","EQ","253.60","260.19","252.86","253.59","252.90","253.47","255.80","380.00","195.00","3,07,537","7,86,67,276.90","10,794"
"27-May-2025","EQ","260.30","261.53","252.25","260.25","254.00","253.59","255.68","380.00","195.00","4,67,583","11,95,52,917.31","12,308"
"26-May-2025","EQ","242.05","263.50","242.00","241.83","262.00","260.25","258.05","380.00","195.00","14,95,772","38,59,82,472.40","38,581"
"23-May-2025","EQ","249.70","249.70","241.30","248.59","241.50","241.83","243.45","395.00","195.00","3,18,905","7,76,37,203.30","13,562"
"22-May-2025","EQ","248.80","253.00","246.50","249.86","248.93","248.59","249.22","395.00","195.00","4,96,327","12,36,96,118.24","15,152"
"21-May-2025","EQ","247.40","252.50","243.76","246.63","249.47","249.86","249.15","395.00","195.00","2,29,774","5,72,47,405.69","9,358"
"20-May-2025","EQ","255.74","256.49","245.14","253.79","245.51","246.63","250.15","395.00","195.00","2,54,010","6,35,40,089.96","10,204"
"19-May-2025","EQ","252.00","261.00","251.06","250.85","254.90","253.79","256.58","395.00","195.00","5,24,372","13,45,41,995.73","19,166"
"16-May-2025","EQ","248.80","254.01","243.31","246.46","252.00","250.85","250.48","395.00","195.00","5,18,266","12,98,16,844.25","12,872"
"15-May-2025","EQ","242.00","248.90","240.05","243.32","247.30","246.46","244.77","395.00","195.00","2,80,110","6,85,62,281.95","10,608"
"14-May-2025","EQ","241.40","245.00","237.75","240.45","242.00","243.32","241.73","395.00","195.00","3,03,557","7,33,79,302.27","12,502"
